"id";"num_cartao";"nom_impresso";"id_conta";"id_associado"
1;"8692002900010397";ALÍCIA CARDOSO;1;1
2;"1360002500020347";MIRELLA MOURA;2;2
3;"3935005400035103";RODRIGO FERNANDES;3;3
4;"4371005900041388";REBECA CARDOSO;4;4
5;"9500005100053578";RAUL BARROS;5;5
6;"7915003800066514";JULIA NUNES;6;6
7;"2184004500079616";JOÃO MIGUEL;7;7
8;"2631002700088038";FRANCISCO GOMES;8;8
9;"3191005800091087";VINICIUS LIMA;9;9
10;"9897004000108416";CECÍLIA SOUZA;10;10
11;"8684005700115334";ANA JULIA;11;11
12;"8694004000128933";ANTHONY NEVES;12;12
13;"9950003400138288";LUCAS COSTA;13;13
14;"4373006600142001";ANA TEIXEIRA;14;14
15;"6333007000157004";JOÃO LUCAS;15;15
16;"9080006900166160";BRUNA LUZ;16;16
17;"6279006700177996";VITOR HUGO;17;17
18;"5432003900184311";SARAH FERNANDES;18;18
19;"4667007500196222";CECÍLIA RODRIGUES;19;19
20;"5578004200205193";NATHAN MOTA;20;20
21;"3420005300212031";BENJAMIN NUNES;21;21
22;"8301002700228977";RODRIGO SALES;22;22
23;"7217004300238486";ALANA CRUZ;23;23
24;"5643003200242215";MARIANE DIAS;24;24
25;"7208004500255539";JOÃO DUARTE;25;25
26;"5131006600266331";ANA JULIA;26;26
27;"1705002700279114";ANA LUIZA;27;27
28;"8241005200283434";MIRELLA CRUZ;28;28
29;"3580003100290102";DAVI MONTEIRO;29;29
30;"9029005000305882";CLARA JESUS;30;30
31;"4318002900310080";ANA JULIA;31;31
32;"6141003100323090";BÁRBARA DIAS;32;32
33;"5857004400335259";JOÃO GABRIEL;33;33
34;"4403004700341691";ISABEL CASTRO;34;34
35;"6149005800353771";HENRIQUE FREITAS;35;35
36;"2594001800365079";LAVÍNIA TEIXEIRA;36;36
37;"8656005800372127";RENAN AZEVEDO;37;37
38;"7517004100384531";THALES COSTELA;38;38
39;"1809004800390332";MARIANE NASCIMENTO;39;39
40;"1724003400400613";RYAN VIANA;40;40
41;"6159003400413792";STELLA MORAES;41;41
42;"6795002600425203";LEONARDO COSTELA;42;42
43;"9330003600433780";YAGO CARDOSO;43;43
44;"5713006900447809";SABRINA CARDOSO;44;44
45;"6319002700459292";ISABELLA CAMPOS;45;45
46;"1477005700465233";ANA LÍVIA;46;46
47;"5269007000471793";DIOGO CUNHA;47;47
48;"7972004100486965";SAMUEL GONÇALVES;48;48
49;"2019004800495063";CAIO COSTA;49;49
50;"3076006400502307";LUIZ GUSTAVO;50;50
51;"3720006600513891";LARISSA ROCHA;51;51
52;"7374004900521845";LUCCA JESUS;52;52
53;"2335007500535146";DANIELA CORREIA;53;53
54;"6823005700542283";STEPHANY SILVEIRA;54;54
55;"4480005200555468";KAMILLY SILVA;55;55
56;"3513004700560241";ALICE TEIXEIRA;56;56
57;"8055002100572931";SOFIA DUARTE;57;57
58;"9809003700582655";THIAGO RODRIGUES;58;58
59;"7017004000592844";JOÃO LUCAS;59;59
60;"2258007200603601";LEONARDO CONCEIÇÃO;60;60
61;"4559005700610808";PEDRO LUCAS;61;61
62;"8240007000624542";CLARICE NOGUEIRA;62;62
63;"9441004900637894";ANA BEATRIZ;63;63
64;"5021007100646123";RAUL ROCHA;64;64
65;"7381003000650919";ANA LAURA;65;65
66;"3670003400666052";ALANA CUNHA;66;66
67;"3483004800676602";GABRIELLY RIBEIRO;67;67
68;"6475005100684695";SRTA. OLIVIA;68;68
69;"8164006200694863";CAROLINA MOREIRA;69;69
70;"2358001900707435";JÚLIA FERNANDES;70;70
71;"5783003000713026";BRENO COSTELA;71;71
72;"6598003300725427";VITOR HUGO;72;72
73;"1597002700739840";RODRIGO RIBEIRO;73;73
74;"8111005700740048";RENAN CAMPOS;74;74
75;"5852006500753856";HENRIQUE RIBEIRO;75;75
76;"5141002300760558";ENZO GABRIEL;76;76
77;"2454003100775387";OLIVIA ALVES;77;77
78;"8060002100780136";BENJAMIN CALDEIRA;78;78
79;"3930003500791769";CATARINA MARTINS;79;79
80;"7087006600805349";ESTHER LUZ;80;80
81;"5602005900813184";ALANA CAMPOS;81;81
82;"8199004900829164";JOÃO VITOR;82;82
83;"4249007300835134";LUCCA CORREIA;83;83
84;"4090006100846240";CECÍLIA AZEVEDO;84;84
85;"4542004000854765";MARIANA NOGUEIRA;85;85
86;"7086002400866175";YASMIN BARROS;86;86
87;"8235003500870713";SRTA. AGATHA;87;87
88;"3045006800881307";ANA JÚLIA;88;88
89;"4324007400890613";SRTA. LETÍCIA;89;89
90;"5090001800901474";ISABELLA PINTO;90;90
91;"1598002800917493";BIANCA SILVEIRA;91;91
92;"4410003400929476";STEPHANY MOTA;92;92
93;"3764002300931967";CECÍLIA SILVEIRA;93;93
94;"8102002900942859";SRTA. CATARINA;94;94
95;"4445003800958274";ANA BEATRIZ;95;95
96;"9174006900969131";MAITÊ CAVALCANTI;96;96
97;"5957002700971483";LAÍS ROCHA;97;97
98;"6281003500981931";FERNANDA MONTEIRO;98;98
99;"7617005000995169";ISIS DUARTE;99;99
100;"7131006801006062";RAFAEL MONTEIRO;100;100
101;"9179006601012044";LORENA GONÇALVES;101;101
102;"7545004801026140";MARIA CAMPOS;102;102
103;"6828003901033779";MAITÊ SALES;103;103
104;"8625005201044799";THOMAS NOVAES;104;104
105;"1046007301059249";MIGUEL SILVEIRA;105;105
106;"9942002501060985";MARIA LUIZA;106;106
107;"8457005801070563";EMILLY SILVEIRA;107;107
108;"9044005001083371";MARCELA PAZ;108;108
109;"2759006301099543";DAVI LUCCA;109;109
110;"7537002801100850";NATHAN MOTA;110;110
111;"3463006301112638";LUIZ OTÁVIO;111;111
112;"5137002901128092";JÚLIA FREITAS;112;112
113;"2759004701136378";ANA JULIA;113;113
114;"5578002201142629";LORENA SALES;114;114
115;"9682005101153085";GABRIELLY NEVES;115;115
116;"9614001801162512";AGATHA RODRIGUES;116;116
117;"1460007301177085";MATHEUS MARTINS;117;117
118;"1453004801187516";PIETRO GOMES;118;118
119;"4639007301195113";EMANUEL NEVES;119;119
120;"4343005501200488";MARIA ALICE;120;120
121;"4652005901215114";JOÃO SANTOS;121;121
122;"7167002101226484";GUILHERME CAVALCANTI;122;122
123;"5295003001234076";SRTA. AGATHA;123;123
124;"2800003001249853";MAITÊ ARAGÃO;124;124
125;"4786003801256678";JOÃO GABRIEL;125;125
126;"7697002501262822";SRTA. ALÍCIA;126;126
127;"9706004501277417";DIEGO SOUZA;127;127
128;"7772002201281947";CAROLINA REZENDE;128;128
129;"4175006701298340";RYAN CAMPOS;129;129
130;"9532002001301769";BENÍCIO CORREIA;130;130
131;"9973002501318294";ELOAH COSTELA;131;131
132;"5679006601329959";FERNANDO CUNHA;132;132
133;"2194005201332905";BENJAMIN NOVAES;133;133
134;"6347004001340910";JOÃO LUCAS;134;134
135;"5762004601358773";CECÍLIA DIAS;135;135
136;"2486004501365746";LUIZ MIGUEL;136;136
137;"5461006501372812";ISAAC CONCEIÇÃO;137;137
138;"3145005401380533";HENRIQUE CAMPOS;138;138
139;"4580002501392280";ANA CLARA;139;139
140;"3527001901407595";LAVÍNIA MONTEIRO;140;140
141;"5522003101417330";SRTA. ANA;141;141
142;"3029005401424121";PEDRO HENRIQUE;142;142
143;"3185004701436060";NICOLE MENDES;143;143
144;"6747005701449526";ENRICO LIMA;144;144
145;"6295006901457147";HENRIQUE CUNHA;145;145
146;"5511006301462009";ANTHONY SALES;146;146
147;"1010006301476621";BENÍCIO SANTOS;147;147
148;"4250002301488069";VALENTINA FOGAÇA;148;148
149;"4684007401493871";SOPHIA CAMPOS;149;149
150;"7952007101509139";SOPHIE RIBEIRO;150;150
151;"4398004801514361";LORENZO GOMES;151;151
152;"2673005601524651";GABRIELA MONTEIRO;152;152
153;"6943007101536493";DAVI MATA;153;153
154;"2505004001543963";THALES BARROS;154;154
155;"2157002501556915";BÁRBARA GONÇALVES;155;155
156;"8687004901562027";FELIPE FARIAS;156;156
157;"1791005101572121";ANA BEATRIZ;157;157
158;"7177002101584614";DAVI MELO;158;158
159;"5615006801591452";ANA JÚLIA;159;159
160;"9282004401600976";MARCELO COSTELA;160;160
161;"8708004401614955";MARIANE CAMPOS;161;161
162;"3867006201621683";CARLOS EDUARDO;162;162
163;"7439006701631119";JOÃO VITOR;163;163
164;"4616005301646167";THALES ROSA;164;164
165;"7746003801657739";SRTA. EMANUELLY;165;165
166;"5591003401664607";MARIANA CONCEIÇÃO;166;166
167;"6636007101672518";LUNA MOREIRA;167;167
168;"8344003101684284";JOAQUIM CAVALCANTI;168;168
169;"3858003101690437";LORENZO JESUS;169;169
170;"5760007001703256";MARCOS VINICIUS;170;170
171;"6575002001710339";JOÃO GUILHERME;171;171
172;"1827005901729012";THALES SILVA;172;172
173;"3544005301733400";HELENA NOVAES;173;173
174;"4909005901749560";IGOR TEIXEIRA;174;174
175;"9672004701757020";MARCOS VINICIUS;175;175
176;"7127003101762927";ALEXIA CARDOSO;176;176
177;"2783004001779287";LORENZO SILVEIRA;177;177
178;"5652002901782724";DANIEL SILVEIRA;178;178
179;"8981006801791306";MARIA LUIZA;179;179
180;"9457002101808903";LEVI CARVALHO;180;180
181;"3030003701814658";YURI SANTOS;181;181
182;"3099002301822928";RAUL MOREIRA;182;182
183;"2335003501838366";CLARA BARROS;183;183
184;"5683002401847465";VITÓRIA NOVAES;184;184
185;"5648007201854189";EMILLY BARROS;185;185
186;"2387006901865451";EMILLY ROSA;186;186
187;"5587004401873281";SRTA. FERNANDA;187;187
188;"4039005201889797";MILENA PORTO;188;188
189;"7918003901899614";BRUNO ROCHA;189;189
190;"8842004901904185";RAFAEL REZENDE;190;190
191;"7092004401914484";MARIA JULIA;191;191
192;"2375006601925465";MARIA CLARA;192;192
193;"5559006301938812";DIEGO CARDOSO;193;193
194;"3084002301945644";SARAH REZENDE;194;194
195;"1564006501952127";JOÃO CORREIA;195;195
196;"5746006701966001";LUIZ MIGUEL;196;196
197;"1222004701971873";MARINA NOGUEIRA;197;197
198;"3626004201982260";MAITÊ RAMOS;198;198
199;"3302003301991448";EMANUELLA BARROS;199;199
200;"3109003702009871";YASMIN ARAGÃO;200;200
201;"7806004902010789";EDUARDO NUNES;201;201
202;"2969002902024536";JOÃO PEDRO;202;202
203;"7425006602030128";MIGUEL ARAGÃO;203;203
204;"6718002202040963";PEDRO MIGUEL;204;204
205;"2757002302056603";FERNANDA PEIXOTO;205;205
206;"4215002202064068";SABRINA FREITAS;206;206
207;"9218004102076286";JOÃO GABRIEL;207;207
208;"2549004102082543";ANA LUIZA;208;208
209;"4860007202095564";LUANA FERREIRA;209;209
210;"5133006602106655";GABRIELLY PORTO;210;210
211;"5823005602114719";BEATRIZ ALVES;211;211
212;"6962007202124414";LUANA CAVALCANTI;212;212
213;"1648005502138667";ANA VITÓRIA;213;213
214;"1216007302145847";JULIANA FERREIRA;214;214
215;"2347006902153417";MARIA ALICE;215;215
216;"8691002502165566";ALEXIA PORTO;216;216
1192;"1164006711923730";THEO MELO;1192;1192
217;"2635004702177746";EMANUELLA DIAS;217;217
218;"8766004402183238";ELISA NOGUEIRA;218;218
